(-1599.0, 19.2, -302.0) (0.0, 0.0, 0.0, 1.0)
(-1544.0, 19.2, -306.0) (0.0, 0.0, 0.0, 1.0)
(-1597.0, 19.2, -267.0) (0.0, 0.0, 0.0, 1.0)
(-1542.0, 19.2, -271.0) (0.0, 0.0, 0.0, 1.0)
(-333.0, 19.2, -147.0) (0.0, 0.0, 0.0, 1.0)
(-365.8, 19.2, -105.5) (0.0, 0.0, 0.0, 1.0)
(-388.1, 19.1, -80.8) (0.0, 0.0, 0.0, 1.0)
(-401.8, 19.2, -50.7) (0.0, 0.0, 0.0, 1.0)
(-433.0, 19.2, -4.3) (0.0, 0.0, 0.0, 1.0)
(-519.8, 19.2, 115.7) (0.0, 0.0, 0.0, 1.0)
(-556.6, 19.2, 166.5) (0.0, 0.0, 0.0, 1.0)
(-575.6, 19.2, 198.5) (0.0, 0.0, 0.0, 1.0)
(-592.1, 19.2, 263.4) (0.0, 0.0, 0.0, 1.0)
(-575.5, 19.2, 77.0) (0.0, 0.0, 0.0, 1.0)
(-636.3, 19.2, 30.0) (0.0, 0.0, 0.0, 1.0)
(-650.3, 19.2, 51.0) (0.0, 0.0, 0.0, 1.0)
(-699.5, 19.2, -2.5) (0.0, 0.0, 0.0, 1.0)
(-655.8, 19.2, 216.4) (0.0, 0.0, 0.0, 1.0)
(-719.5, 19.2, 166.0) (0.0, 0.0, 0.0, 1.0)
(-755.3, 19.2, 137.6) (0.0, 0.0, 0.0, 1.0)
(-816.8, 19.2, 84.9) (0.0, 0.0, 0.0, 1.0)
(-928.7, 19.2, 119.2) (0.0, 0.0, 0.0, 1.0)
(-1004.4, 19.2, 163.5) (0.0, 0.0, 0.0, 1.0)
(-1067.4, 19.2, 178.6) (0.0, 0.3, 0.0, 1.0)
(-1007.6, 19.2, 246.1) (0.0, 0.1, 0.0, 1.0)
(-710.0, 19.2, -167.9) (0.0, 0.0, 0.0, 1.0)
(-778.3, 19.2, -215.3) (0.0, 0.0, 0.0, 1.0)
